Genre;Bibl;ContextBefore;Hit;ContextAfter;wh-Phrase;Sluice?;If no sluice: What is it then?;If sluice: embedding predicate;Number of embedding verb chunk;Merger/Sprouting;Negation;sentence length;POStagged hit;POStagged context_before;POStag wh-phrase;last verbal element before wh-phrase;embedding verb = last verbal element?;prediction
Belletristik;Erpenbeck, Jenny: Wörterbuch, Frankfurt am Main: Eichborn Verlag 2004, S. 13;Das sagt mein Vater hinter einer geschlossenen Tür in unserem Haus, die Tür ist zu dieser Zeit noch riesig für mich, ich stelle mir vor, was passieren würde, wenn sie auf mich fiele, während ich an ihr lausche, ob ich dann flach würde, durch die Tür hindurch riecht es bis in den Flur nach Tabak, alle, und ob das Lärm machen würde, wenn sie auf mich niederstürzte, oder ob so eine Tür leise auf einen Körper fällt, der aus Fleisch ist.;Als ich am nächsten Tag auf den steinernen Teppichmustern der Stadt an der Hand meiner Mutter von Insel zu Insel springe, zähle ich stumm: Diejenigen welche.;Dann deren Freunde.;welche;n;elision;;;;n;26;[['Als', 'KOUS', 'als'], ['ich', 'PPER', 'ich'], ['am', 'APPRART', 'an'], ['nächsten', 'ADJA', 'nah'], ['Tag', 'NN', 'Tag'], ['auf', 'APPR', 'auf'], ['den', 'ART', 'die'], ['steinernen', 'ADJA', 'steinern'], ['Teppichmustern', 'NN', '<unknown>'], ['der', 'ART', 'die'], ['Stadt', 'NN', 'Stadt'], ['an', 'APPR', 'an'], ['der', 'ART', 'die'], ['Hand', 'NN', 'Hand'], ['meiner', 'PPOSAT', 'mein'], ['Mutter', 'NN', 'Mutter'], ['von', 'APPR', 'von'], ['Insel', 'NN', 'Insel'], ['zu', 'APPR', 'zu'], ['Insel', 'NN', 'Insel'], ['springe', 'VVFIN', 'springen'], [',', '$,', ','], ['zähle', 'VVFIN', 'zählen'], ['ich', 'PPER', 'ich'], ['stumm', 'ADJD', 'stumm'], [':', '$.', ':'], ['Diejenigen', 'PDAT', 'diejenigen'], ['welche', 'PIS', 'welche'], ['.', '$.', '.']];[['Das', 'PDS', 'die'], ['sagt', 'VVFIN', 'sagen'], ['mein', 'PPOSAT', 'mein'], ['Vater', 'NN', 'Vater'], ['hinter', 'APPR', 'hinter'], ['einer', 'ART', 'eine'], ['geschlossenen', 'ADJA', 'geschlossen'], ['Tür', 'NN', 'Türe'], ['in', 'APPR', 'in'], ['unserem', 'PPOSAT', 'unser'], ['Haus', 'NN', 'Haus'], [',', '$,', ','], ['die', 'ART', 'die'], ['Tür', 'NN', 'Türe'], ['ist', 'VAFIN', 'sein'], ['zu', 'APPR', 'zu'], ['dieser', 'PDAT', 'dies'], ['Zeit', 'NN', 'Zeit'], ['noch', 'ADV', 'noch'], ['riesig', 'ADJD', 'riesig'], ['für', 'APPR', 'für'], ['mich', 'PPER', 'ich'], [',', '$,', ','], ['ich', 'PPER', 'ich'], ['stelle', 'VVFIN', 'stellen'], ['mir', 'PPER', 'ich'], ['vor', 'PTKVZ', 'vor'], [',', '$,', ','], ['was', 'PWS', 'was'], ['passieren', 'VVINF', 'passieren'], ['würde', 'VAFIN', 'werden'], [',', '$,', ','], ['wenn', 'KOUS', 'wenn'], ['sie', 'PPER', 'sie'], ['auf', 'APPR', 'auf'], ['mich', 'PRF', 'ich'], ['fiele', 'VVFIN', 'fallen'], [',', '$,', ','], ['während', 'KOUS', 'während'], ['ich', 'PPER', 'ich'], ['an', 'APPR', 'an'], ['ihr', 'PPER', 'ihr'], ['lausche', 'VVFIN', 'lauschen'], [',', '$,', ','], ['ob', 'KOUS', 'ob'], ['ich', 'PPER', 'ich'], ['dann', 'ADV', 'dann'], ['flach', 'ADJD', 'flach'], ['würde', 'VAFIN', 'werden'], [',', '$,', ','], ['durch', 'APPR', 'durch'], ['die', 'ART', 'die'], ['Tür', 'NN', 'Türe'], ['hindurch', 'ADV', 'hindurch'], ['riecht', 'VVFIN', 'riechen'], ['es', 'PPER', 'es'], ['bis', 'APPR', 'bis'], ['in', 'APPR', 'in'], ['den', 'ART', 'die'], ['Flur', 'NN', 'Flur'], ['nach', 'APPR', 'nach'], ['Tabak', 'NN', 'Tabak'], [',', '$,', ','], ['alle', 'PIS', 'alle'], [',', '$,', ','], ['und', 'KON', 'und'], ['ob', 'KOUS', 'ob'], ['das', 'ART', 'die'], ['Lärm', 'NN', 'Lärm'], ['machen', 'VVINF', 'machen'], ['würde', 'VAFIN', 'werden'], [',', '$,', ','], ['wenn', 'KOUS', 'wenn'], ['sie', 'PPER', 'sie'], ['auf', 'APPR', 'auf'], ['mich', 'PRF', 'ich'], ['niederstürzte', 'VVFIN', 'niederstürzen'], [',', '$,', ','], ['oder', 'KON', 'oder'], ['ob', 'KOUS', 'ob'], ['so', 'ADV', 'so'], ['eine', 'ART', 'eine'], ['Tür', 'NN', 'Türe'], ['leise', 'ADJD', 'leise'], ['auf', 'APPR', 'auf'], ['einen', 'ART', 'eine'], ['Körper', 'NN', 'Körper'], ['fällt', 'VVFIN', 'fallen|fällen'], [',', '$,', ','], ['der', 'PRELS', 'die'], ['aus', 'APPR', 'aus'], ['Fleisch', 'NN', 'Fleisch'], ['ist', 'VAFIN', 'sein'], ['.', '$.', '.']];PIS;zählen;NA;
Belletristik;Beyer, Marcel: Spione, Köln: DuMont 2000, S. 134;Da ist etwas an dieser Schülerin, er rätselt.;Ist es das Kinn, ein Zug um ihren Mund, ist es die Stimme, die Schülerin hat eine gewisse Ähnlichkeit, aber mit wem.;Die Anführerin der Gruppe Jugendlicher im Park vor ein paar Tagen.;wer;y;;<unembedded>;;s;n;22;[['Ist', 'VAFIN', 'sein'], ['es', 'PPER', 'es'], ['das', 'ART', 'die'], ['Kinn', 'NN', 'Kinn'], [',', '$,', ','], ['ein', 'ART', 'eine'], ['Zug', 'NN', 'Zug'], ['um', 'APPR', 'um'], ['ihren', 'PPOSAT', 'ihr'], ['Mund', 'NN', 'Mund'], [',', '$,', ','], ['ist', 'VAFIN', 'sein'], ['es', 'PPER', 'es'], ['die', 'ART', 'die'], ['Stimme', 'NN', 'Stimme'], [',', '$,', ','], ['die', 'ART', 'die'], ['Schülerin', 'NN', 'Schülerin'], ['hat', 'VAFIN', 'haben'], ['eine', 'ART', 'eine'], ['gewisse', 'ADJA', 'gewiss'], ['Ähnlichkeit', 'NN', 'Ähnlichkeit'], [',', '$,', ','], ['aber', 'ADV', 'aber'], ['mit', 'PTKVZ', 'mit'], ['wem', 'PWS', 'wer'], ['.', '$.', '.']];[['Da', 'ADV', 'da'], ['ist', 'VAFIN', 'sein'], ['etwas', 'ADV', 'etwas'], ['an', 'APPR', 'an'], ['dieser', 'PDAT', 'dies'], ['Schülerin', 'NN', 'Schülerin'], [',', '$,', ','], ['er', 'PPER', 'er'], ['rätselt', 'VVFIN', 'rätseln'], ['.', '$.', '.']];PWS;haben;n;
Zeitung;Die Zeit, 27.04.2000, Nr. 18;Es gibt Lektionen, wie man Komplimente macht, wie man jemanden anfasst, damit es ihm angenehm ist, was für Zärtlichkeiten man sich selber wünscht.;Lachmann-Geier teilt Schattenrisse von weiblichen Figuren aus und lässt die Teilnehmerinnen rot hineinmalen, welche Stellen sie an sich selbst mögen, in einer anderen Farbe wird eingetragen, wo sie sich gern berühren lassen - und von wem.;Die Eltern waren mit der Heirat nicht einverstanden;wer;y;;hineinmalen;-4;s;n;36;[['Lachmann-Geier', 'NE', '<unknown>'], ['teilt', 'VVFIN', 'teilen'], ['Schattenrisse', 'NN', 'Schattenriss'], ['von', 'APPR', 'von'], ['weiblichen', 'ADJA', 'weiblich'], ['Figuren', 'NN', 'Figur'], ['aus', 'PTKVZ', 'aus'], ['und', 'KON', 'und'], ['lässt', 'VVFIN', 'lassen'], ['die', 'ART', 'die'], ['Teilnehmerinnen', 'NN', 'Teilnehmerin'], ['rot', 'ADJD', 'rot'], ['hineinmalen', 'VVINF', '<unknown>'], [',', '$,', ','], ['welche', 'PRELS', 'welche'], ['Stellen', 'NN', 'Stelle|Stellen'], ['sie', 'PPER', 'sie'], ['an', 'APZR', 'an'], ['sich', 'PRF', 'sich'], ['selbst', 'ADV', 'selbst'], ['mögen', 'VMFIN', 'mögen'], [',', '$,', ','], ['in', 'APPR', 'in'], ['einer', 'ART', 'eine'], ['anderen', 'PIAT', 'andere'], ['Farbe', 'NN', 'Farbe'], ['wird', 'VAFIN', 'werden'], ['eingetragen', 'VVPP', 'eintragen'], [',', '$,', ','], ['wo', 'PWAV', 'wo'], ['sie', 'PPER', 'sie'], ['sich', 'PRF', 'sich'], ['gern', 'ADV', 'gern'], ['berühren', 'VVINF', 'berühren'], ['lassen', 'VVINF', 'lassen'], ['-', '$(', '-'], ['und', 'KON', 'und'], ['von', 'APPR', 'von'], ['wem', 'PWS', 'wer'], ['.', '$.', '.']];[['Es', 'PPER', 'es'], ['gibt', 'VVFIN', 'geben'], ['Lektionen', 'NN', 'Lektion'], [',', '$,', ','], ['wie', 'KOUS', 'wie'], ['man', 'PIS', 'man'], ['Komplimente', 'NN', 'Kompliment'], ['macht', 'VVFIN', 'machen'], [',', '$,', ','], ['wie', 'KOUS', 'wie'], ['man', 'PIS', 'man'], ['jemanden', 'PIS', 'jemand'], ['anfasst', 'VVFIN', 'anfassen'], [',', '$,', ','], ['damit', 'KOUS', 'damit'], ['es', 'PPER', 'es'], ['ihm', 'PPER', 'er'], ['angenehm', 'ADJD', 'angenehm'], ['ist', 'VAFIN', 'sein'], [',', '$,', ','], ['was', 'PRELS', 'was'], ['für', 'APPR', 'für'], ['Zärtlichkeiten', 'NN', 'Zärtlichkeit'], ['man', 'PIS', 'man'], ['sich', 'PRF', 'sich'], ['selber', 'ADV', 'selber'], ['wünscht', 'VVFIN', 'wünschen'], ['.', '$.', '.']];PWS;lassen;n;
Gebrauchsliteratur;Schwanitz, Dietrich: Männer, Frankfurt a. M.: Eichborn 2001, S. 45;Die Kontrolle der weiblichen Sexualität ist dem Mann aus der Hand gewunden worden.;Die Frau entscheidet nun selbst, wann und mit wem.;Und sie entscheidet auch, ob sie ein Kind haben will oder nicht.;wer;y;;entscheiden;-1;s;n;9;[['Die', 'ART', 'die'], ['Frau', 'NN', 'Frau'], ['entscheidet', 'VVFIN', 'entscheiden'], ['nun', 'ADV', 'nun'], ['selbst', 'ADV', 'selbst'], [',', '$,', ','], ['wann', 'PWAV', 'wann'], ['und', 'KON', 'und'], ['mit', 'APPR', 'mit'], ['wem', 'PWS', 'wer'], ['.', '$.', '.']];[['Die', 'ART', 'die'], ['Kontrolle', 'NN', 'Kontrolle'], ['der', 'ART', 'die'], ['weiblichen', 'ADJA', 'weiblich'], ['Sexualität', 'NN', 'Sexualität'], ['ist', 'VAFIN', 'sein'], ['dem', 'ART', 'die'], ['Mann', 'NN', 'Mann'], ['aus', 'APPR', 'aus'], ['der', 'ART', 'die'], ['Hand', 'NN', 'Hand'], ['gewunden', 'VVPP', 'winden'], ['worden', 'VAPP', 'werden'], ['.', '$.', '.']];PWS;entscheiden;y;
Belletristik;Suter, Martin: Lila, Lila, Zürich: Diogenes 2004, S. 90;»Einem hab ich es schon erzählt.«;Sie brauchte nicht zu sagen, wem.;»Ralph«, stöhnte David.;wer;y;;sagen;-1;m, bef;y, nicht;6;[['Sie', 'PPER', 'Sie'], ['brauchte', 'VVFIN', 'brauchen'], ['nicht', 'PTKNEG', 'nicht'], ['zu', 'PTKZU', 'zu'], ['sagen', 'VVINF', 'sagen'], [',', '$,', ','], ['wem', 'PWS', 'wer'], ['.', '$.', '.']];[['»', 'NN', '<unknown>'], ['Einem', 'ART', 'eine'], ['hab', 'VAIMP', 'haben'], ['ich', 'PPER', 'ich'], ['es', 'PPER', 'es'], ['schon', 'ADV', 'schon'], ['erzählt', 'VVFIN', 'erzählen'], ['.', '$.', '.'], ['«', 'NN', '<unknown>']];PWS;sagen;y;
Belletristik;"Schrott, Raoul: Tristan da Cunha oder die Hälfte der Erde; Hanser Verlag 2003, S. 444";DANN KAM DIE â€ºVICTORIAâ€¹, sie brachte zweimal im Jahr Robbenjäger nach Gough, einer unbewohnten Insel am 40. Breitengrad, und stellte in Aussicht, uns auf der Rückfahrt nach Capetown mitzunehmen.;"Dieses halbe Versprechen verlieh unserem Aufenthalt auf Tristan plötzlich Sinn und Zweck; drei Monate auf der Insel waren vergangen, ohne daß sich die meisten von uns richtig Rechenschaft darüber abgelegt hatten, wo wir uns befanden und mit wem.";Kurz, die bald mögliche Rückkehr stellte uns nun das Provisorische unserer Zeit hier vor Augen.;wer;y;;Rechenschaft ablegen;-2;s;y, ohne;38;"[['Dieses', 'PDAT', 'dies'], ['halbe', 'ADJA', 'halb'], ['Versprechen', 'NN', 'Versprechen'], ['verlieh', 'VVFIN', 'verleihen'], ['unserem', 'PPOSAT', 'unser'], ['Aufenthalt', 'NN', 'Aufenthalt'], ['auf', 'APPR', 'auf'], ['Tristan', 'NE', 'Tristan'], ['plötzlich', 'ADJD', 'plötzlich'], ['Sinn', 'NN', 'Sinn'], ['und', 'KON', 'und'], ['Zweck', 'NN', 'Zweck'], [';', '$.', ';'], ['drei', 'CARD', 'drei'], ['Monate', 'NN', 'Monat'], ['auf', 'APPR', 'auf'], ['der', 'ART', 'die'], ['Insel', 'NN', 'Insel'], ['waren', 'VAFIN', 'sein'], ['vergangen', 'VVPP', 'vergehen'], [',', '$,', ','], ['ohne', 'APPR', 'ohne'], ['daß', 'KOUS', 'dass'], ['sich', 'PRF', 'sich'], ['die', 'ART', 'die'], ['meisten', 'PIS', 'meiste'], ['von', 'APPR', 'von'], ['uns', 'PPER', 'wir'], ['richtig', 'ADJD', 'richtig'], ['Rechenschaft', 'NN', 'Rechenschaft'], ['darüber', 'PAV', 'darüber'], ['abgelegt', 'VVPP', 'ablegen'], ['hatten', 'VAFIN', 'haben'], [',', '$,', ','], ['wo', 'PWAV', 'wo'], ['wir', 'PPER', 'wir'], ['uns', 'PRF', 'wir'], ['befanden', 'VVFIN', 'befinden'], ['und', 'KON', 'und'], ['mit', 'APPR', 'mit'], ['wem', 'PWS', 'wer'], ['.', '$.', '.']]";[['DANN', 'ADV', 'dann'], ['KAM', 'VVFIN', 'kommen'], ['DIE', 'NN', '<unknown>'], ['â€ºVICTORIAâ€¹', 'VVFIN', '<unknown>'], [',', '$,', ','], ['sie', 'PPER', 'sie'], ['brachte', 'VVFIN', 'bringen'], ['zweimal', 'ADV', 'zweimal'], ['im', 'APPRART', 'in'], ['Jahr', 'NN', 'Jahr'], ['Robbenjäger', 'NE', 'Robbenjäger'], ['nach', 'APPR', 'nach'], ['Gough', 'NE', '<unknown>'], [',', '$,', ','], ['einer', 'ART', 'eine'], ['unbewohnten', 'ADJA', 'unbewohnt'], ['Insel', 'NN', 'Insel'], ['am', 'APPRART', 'an'], ['40', 'CARD', '40'], ['.', '$.', '.'], ['Breitengrad', 'NN', 'Breitengrad'], [',', '$,', ','], ['und', 'KON', 'und'], ['stellte', 'VVFIN', 'stellen'], ['in', 'APPR', 'in'], ['Aussicht', 'NN', 'Aussicht'], [',', '$,', ','], ['uns', 'PPER', 'wir'], ['auf', 'APPR', 'auf'], ['der', 'ART', 'die'], ['Rückfahrt', 'NN', 'Rückfahrt'], ['nach', 'APPR', 'nach'], ['Capetown', 'NN', '<unknown>'], ['mitzunehmen', 'VVIZU', 'mitnehmen'], ['.', '$.', '.']];PWS;befinden;n;
Belletristik;Johnson, Uwe: Jahrestage, Bd. 1, Frankfurt a. M.: Suhrkamp 1970, S. 374;- Die andere ist zum Aufheben: sagt Marie.;- Zum Aufheben für wen.;Für dich?;wer;n;indefinite pronoun;;;;n;5;[['-', '$(', '-'], ['Zum', 'APPRART', 'zu'], ['Aufheben', 'NN', 'Aufheben'], ['für', 'APPR', 'für'], ['wen', 'PWS', 'wer'], ['.', '$.', '.']];[['-', '$(', '-'], ['Die', 'ART', 'die'], ['andere', 'PIS', 'andere'], ['ist', 'VAFIN', 'sein'], ['zum', 'APPRART', 'zu'], ['Aufheben', 'NN', 'Aufheben'], [':', '$.', ':'], ['sagt', 'VVFIN', 'sagen'], ['Marie', 'NE', 'Marie'], ['.', '$.', '.']];PWS;sagen;NA;
Gebrauchsliteratur;Brief von Brigitte Reimann an Christa Wolf vom 13. 2. 1972. In: Brigitte Reimann u. Christa Wolf, Sei gegrüßt und lebe, Berlin: Aufbau-Taschenbuch-Verl. 1999 [1972];Aber vielleicht sollten wir jetzt wieder einmal tief durchatmen?;"Du bist wieder da, sogar in effigie (""Sonntag""), Dein Essayband ist im ND angekündigt, laut Großfürst hast Du oder wirst Du R. aufsuchen, [?] Rückgewinnung eines Fischer-Betreuten für Aufbaus oder sonst wen.";Eine Menge interessanter Informationen von S. (der jetzt natürlich auch findet, Hacks sollte auf unseren Bühnen gespielt werden ßª o süße Vergeßlichkeit.;wer;n;indefinite pronoun;;;;n;32;"[['Du', 'PPER', 'du'], ['bist', 'VAFIN', 'sein'], ['wieder', 'ADV', 'wieder'], ['da', 'ADV', 'da'], [',', '$,', ','], ['sogar', 'ADV', 'sogar'], ['in', 'APPR', 'in'], ['effigie', 'NN', '<unknown>'], ['(', '$(', '('], ['""', '$(', '""'], ['Sonntag', 'NE', 'Sonntag'], ['""', '$(', '""'], [')', '$(', ')'], [',', '$,', ','], ['Dein', 'PPOSAT', 'dein'], ['Essayband', 'NN', 'Essayband'], ['ist', 'VAFIN', 'sein'], ['im', 'APPRART', 'in'], ['ND', 'NE', 'ND'], ['angekündigt', 'VVPP', 'ankündigen'], [',', '$,', ','], ['laut', 'APPR', 'laut'], ['Großfürst', 'NN', 'Großfürst'], ['hast', 'VAFIN', 'haben'], ['Du', 'PPER', 'du'], ['oder', 'KON', 'oder'], ['wirst', 'VAFIN', 'werden'], ['Du', 'PPER', 'du'], ['R.', 'NE', 'R.'], ['aufsuchen', 'VVINF', 'aufsuchen'], [',', '$,', ','], ['[', '$(', '['], ['?', '$.', '?'], [']', '$(', ']'], ['Rückgewinnung', 'NN', 'Rückgewinnung'], ['eines', 'ART', 'eine'], ['Fischer-Betreuten', 'NN', '<unknown>'], ['für', 'APPR', 'für'], ['Aufbaus', 'NN', 'Aufbau'], ['oder', 'KON', 'oder'], ['sonst', 'ADV', 'sonst'], ['wen', 'PWS', 'wer'], ['.', '$.', '.']]";[['Aber', 'KON', 'aber'], ['vielleicht', 'ADV', 'vielleicht'], ['sollten', 'VMFIN', 'sollen'], ['wir', 'PPER', 'wir'], ['jetzt', 'ADV', 'jetzt'], ['wieder', 'ADV', 'wieder'], ['einmal', 'ADV', 'einmal'], ['tief', 'ADJD', 'tief'], ['durchatmen', 'VVINF', 'durchatmen'], ['?', '$.', '?']];PWS;aufsuchen;NA;
Belletristik;Kopetzky, Steffen: Grand Tour, Frankfurt am Main: Eichborn 2002, S. 165;Der Dritte Mann!;Er würde morgen einen seiner Feinde aus der Schnüfflerbranche anrufen, er wußte schon, wen.;Er würde ihn beschwören, ihm den besten, klügsten, spontansten mittelalten Stardetektiv Münchens zu nennen, den Mann also, in dessen Händen das Schicksal des Barons liegen würde.;wer;y;;wissen;-1;m;n;14;[['Er', 'PPER', 'er'], ['würde', 'VAFIN', 'werden'], ['morgen', 'ADV', 'morgen'], ['einen', 'PIS', 'eine'], ['seiner', 'PPOSAT', 'sein'], ['Feinde', 'NN', 'Feind'], ['aus', 'APPR', 'aus'], ['der', 'ART', 'die'], ['Schnüfflerbranche', 'NN', '<unknown>'], ['anrufen', 'VVINF', 'anrufen'], [',', '$,', ','], ['er', 'PPER', 'er'], ['wußte', 'VVFIN', 'wissen'], ['schon', 'ADV', 'schon'], [',', '$,', ','], ['wen', 'PWS', 'wer'], ['.', '$.', '.']];[['Der', 'ART', 'die'], ['Dritte', 'ADJA', 'dritt'], ['Mann', 'NN', 'Mann'], ['!', '$.', '!']];PWS;wissen;y;
Belletristik;Bach, Tamara: Marsmädchen, Hamburg: Verlag Friedrich Oetinger 2003, S. 64;Und wenn ich angetrunken bin, dann küsse ich gern.;Egal wen.;Vielleicht fühle ich auch was.;wer;n;frozen expression;;;;n;2;[['Egal', 'ADJD', 'egal'], ['wen', 'PWS', 'wer'], ['.', '$.', '.']];[['Und', 'KON', 'und'], ['wenn', 'KOUS', 'wenn'], ['ich', 'PPER', 'ich'], ['angetrunken', 'VVPP', 'antrinken'], ['bin', 'VAFIN', 'sein'], [',', '$,', ','], ['dann', 'ADV', 'dann'], ['küsse', 'VVFIN', 'küssen'], ['ich', 'PPER', 'ich'], ['gern', 'ADV', 'gern'], ['.', '$.', '.']];PWS;küssen;NA;
Belletristik;Braun, Marcus: Hochzeitsvorbereitungen, Berlin: Berlin Verlag 2003, S. 133;""" Versteh doch, es ist vorbei «, sagte sie hart und fremd, eine Spur hysterisch, als wäre etwas passiert, was es ein für allemal unmöglich mache, mit ihr zum Bahnhof zu gehen, um einem Breisgauer Maronen abzukaufen.";Sie war wunderschön in diesem Moment, und einen Tag zuvor hatte sie mir gestanden, daß sie neu verliebt sei, und mir auch gleich mitgeteilt, in wen.;Mein Entsetzen und mein Nachdenken über diesen Sachverhalt gipfelte in dem Satz: »Ich wußte nicht, daß du Langhaarige magst.«;wer;y;;mitteilen;-1;s;n;26;[['Sie', 'PPER', 'Sie'], ['war', 'VAFIN', 'sein'], ['wunderschön', 'ADJD', 'wunderschön'], ['in', 'APPR', 'in'], ['diesem', 'PDAT', 'dies'], ['Moment', 'NN', 'Moment'], [',', '$,', ','], ['und', 'KON', 'und'], ['einen', 'ART', 'eine'], ['Tag', 'NN', 'Tag'], ['zuvor', 'ADV', 'zuvor'], ['hatte', 'VAFIN', 'haben'], ['sie', 'PPER', 'sie'], ['mir', 'PPER', 'ich'], ['gestanden', 'VVPP', 'gestehen|stehen'], [',', '$,', ','], ['daß', 'KOUS', 'dass'], ['sie', 'PPER', 'sie'], ['neu', 'ADJD', 'neu'], ['verliebt', 'VVPP', 'verlieben'], ['sei', 'VAFIN', 'sein'], [',', '$,', ','], ['und', 'KON', 'und'], ['mir', 'PPER', 'ich'], ['auch', 'ADV', 'auch'], ['gleich', 'ADJD', 'gleich'], ['mitgeteilt', 'VVPP', 'mitteilen'], [',', '$,', ','], ['in', 'APPR', 'in'], ['wen', 'PWS', 'wer'], ['.', '$.', '.']];"[['""', '$(', '""'], ['Versteh', 'VVIMP', 'verstehen'], ['doch', 'ADV', 'doch'], [',', '$,', ','], ['es', 'PPER', 'es'], ['ist', 'VAFIN', 'sein'], ['vorbei', 'ADV', 'vorbei'], ['«', 'ADJD', '<unknown>'], [',', '$,', ','], ['sagte', 'VVFIN', 'sagen'], ['sie', 'PPER', 'sie'], ['hart', 'ADJD', 'hart'], ['und', 'KON', 'und'], ['fremd', 'ADJD', 'fremd'], [',', '$,', ','], ['eine', 'ART', 'eine'], ['Spur', 'NN', 'Spur'], ['hysterisch', 'ADJD', 'hysterisch'], [',', '$,', ','], ['als', 'KOUS', 'als'], ['wäre', 'VAFIN', 'sein'], ['etwas', 'ADV', 'etwas'], ['passiert', 'VVPP', 'passieren'], [',', '$,', ','], ['was', 'PRELS', 'was'], ['es', 'PPER', 'es'], ['ein', 'ART', 'eine'], ['für', 'APPR', 'für'], ['allemal', 'ADV', 'allemal'], ['unmöglich', 'ADJD', 'unmöglich'], ['mache', 'VVFIN', 'machen'], [',', '$,', ','], ['mit', 'APPR', 'mit'], ['ihr', 'PPOSAT', 'ihr'], ['zum', 'APPRART', 'zu'], ['Bahnhof', 'NN', 'Bahnhof'], ['zu', 'PTKZU', 'zu'], ['gehen', 'VVINF', 'gehen'], [',', '$,', ','], ['um', 'KOUI', 'um'], ['einem', 'ART', 'eine'], ['Breisgauer', 'NN', 'Breisgauer'], ['Maronen', 'NN', 'Marone'], ['abzukaufen', 'VVIZU', 'abkaufen'], ['.', '$.', '.']]";PWS;mitteilen;y;
Belletristik;Krausser, Helmut: Eros, Köln: DuMont 2006, S. 164;Henry hat es aus der Zeitung und teilt es Sofie während des Frühstücks mit.;Die begreift nicht gleich, weshalb das wichtig sein soll und für wen.;»Ja und?«;wer;y;;begreifen;-2;s;y, nicht;12;[['Die', 'PDS', 'die'], ['begreift', 'VVFIN', 'begreifen'], ['nicht', 'PTKNEG', 'nicht'], ['gleich', 'ADJD', 'gleich'], [',', '$,', ','], ['weshalb', 'PWAV', 'weshalb'], ['das', 'ART', 'die'], ['wichtig', 'ADJD', 'wichtig'], ['sein', 'VAINF', 'sein'], ['soll', 'VMFIN', 'sollen'], ['und', 'KON', 'und'], ['für', 'APPR', 'für'], ['wen', 'PWS', 'wer'], ['.', '$.', '.']];[['Henry', 'NE', 'Henry'], ['hat', 'VAFIN', 'haben'], ['es', 'PPER', 'es'], ['aus', 'APPR', 'aus'], ['der', 'ART', 'die'], ['Zeitung', 'NN', 'Zeitung'], ['und', 'KON', 'und'], ['teilt', 'VVFIN', 'teilen'], ['es', 'PPER', 'es'], ['Sofie', 'NE', 'Sofie'], ['während', 'APPR', 'während'], ['des', 'ART', 'die'], ['Frühstücks', 'NN', 'Frühstück'], ['mit', 'PTKVZ', 'mit'], ['.', '$.', '.']];PWS;sollen;n;
Belletristik;"Schrott, Raoul: Tristan da Cunha oder die Hälfte der Erde; Hanser Verlag 2003, S. 327";All die spielerische Leichtigkeit dieses Tages war mit einem Mal verloren, ich zwängte mich durch das Gedränge, sah nur wenige meinen Blick erwidern.;"Der Wind trieb leere Plastikbecher über den Weg, denen ich einen Stoß gab, und es war, als hätte ich vergessen, was ich in dieser Stadt gesucht hatte; wen.";Wie um mir selbst zu widersprechen, habe ich ihm jetzt doch eine Mail geschickt.;wer;y;;vergessen;-2;s;n;28;"[['Der', 'ART', 'die'], ['Wind', 'NN', 'Wind'], ['trieb', 'VVFIN', 'treiben'], ['leere', 'ADJA', 'leer'], ['Plastikbecher', 'NN', 'Plastikbecher'], ['über', 'APPR', 'über'], ['den', 'ART', 'die'], ['Weg', 'NN', 'Weg'], [',', '$,', ','], ['denen', 'PRELS', 'die'], ['ich', 'PPER', 'ich'], ['einen', 'ART', 'eine'], ['Stoß', 'NN', 'Stoß'], ['gab', 'VVFIN', 'geben'], [',', '$,', ','], ['und', 'KON', 'und'], ['es', 'PPER', 'es'], ['war', 'VAFIN', 'sein'], [',', '$,', ','], ['als', 'KOUS', 'als'], ['hätte', 'VAFIN', 'haben'], ['ich', 'PPER', 'ich'], ['vergessen', 'VVPP', 'vergessen'], [',', '$,', ','], ['was', 'PRELS', 'was'], ['ich', 'PPER', 'ich'], ['in', 'APPR', 'in'], ['dieser', 'PDAT', 'dies'], ['Stadt', 'NN', 'Stadt'], ['gesucht', 'VVPP', 'suchen'], ['hatte', 'VAFIN', 'haben'], [';', '$.', ';'], ['wen', 'PWS', 'wer'], ['.', '$.', '.']]";[['All', 'PIAT', 'alle'], ['die', 'ART', 'die'], ['spielerische', 'ADJA', 'spielerisch'], ['Leichtigkeit', 'NN', 'Leichtigkeit'], ['dieses', 'PDAT', 'dies'], ['Tages', 'NN', 'Tag'], ['war', 'VAFIN', 'sein'], ['mit', 'APPR', 'mit'], ['einem', 'ART', 'eine'], ['Mal', 'NN', 'Mal'], ['verloren', 'VVPP', 'verlieren'], [',', '$,', ','], ['ich', 'PPER', 'ich'], ['zwängte', 'VVFIN', 'zwängen'], ['mich', 'PRF', 'ich'], ['durch', 'APPR', 'durch'], ['das', 'ART', 'die'], ['Gedränge', 'NN', 'Gedränge'], [',', '$,', ','], ['sah', 'VVFIN', 'sehen'], ['nur', 'ADV', 'nur'], ['wenige', 'PIS', 'wenige'], ['meinen', 'PPOSAT', 'mein'], ['Blick', 'NN', 'Blick'], ['erwidern', 'VVINF', 'erwidern'], ['.', '$.', '.']];PWS;haben;n;
